date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:15	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2017%20Mar%202023%2009:55:15%20GMT	https://www.ojieame.design/robots.txt		(from )
12:55:16	19194/19194	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2009:55:15%20GMT	https://www.ojieame.design/	C:/Veb%20saytlarim/abdulazizov/www.ojieame.design/index.html	(from )
12:55:16	93402/93402	---M-Z	200	added ('OK')	text/css	etag:%225463e64072812a323c74e56ddca9603f%22	https://uploads-ssl.webflow.com/5b32655069229148933e1636/css/ojieame.webflow.01c801302.css	C:/Veb%20saytlarim/abdulazizov/uploads-ssl.webflow.com/5b32655069229148933e1636/css/ojieame.webflow.01c801302.css	(from https://www.ojieame.design/)
12:55:17	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Veb%20saytlarim/abdulazizov/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.ojieame.design/)
12:55:18	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/Veb%20saytlarim/abdulazizov/uploads-ssl.webflow.com/img/webclip.png	(from https://www.ojieame.design/)
12:55:18	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2017%20Mar%202023%2009:55:18%20GMT	https://www.ojieame.design/%22https://uploads-ssl.webflow.com/5b32655069229148933e1636/5b33c8c5e43d9d10fd5aa416_mnnn-poster-00001.jpg%22	C:/Veb%20saytlarim/abdulazizov/www.ojieame.design/_https_/uploads-ssl.webflow.com/5b32655069229148933e1636/5b33c8c5e43d9d10fd5aa416_mnnn-poster-00001.jpg_	(from https://www.ojieame.design/)
12:55:18	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2017%20Mar%202023%2009:55:18%20GMT	https://www.ojieame.design/health	C:/Veb%20saytlarim/abdulazizov/www.ojieame.design/health	(from https://www.ojieame.design/)
12:55:19	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2017%20Mar%202023%2009:55:18%20GMT	https://www.ojieame.design/firstbankquest	C:/Veb%20saytlarim/abdulazizov/www.ojieame.design/firstbankquest	(from https://www.ojieame.design/)
12:55:19	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5b32655069229148933e1636	C:/Veb%20saytlarim/abdulazizov/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c814f2.js	(from https://www.ojieame.design/)
12:55:20	215719/215719	---M-Z	200	added ('OK')	text/javascript	etag:%22fdc541e5c25910fb21841f4453f0a995%22	https://uploads-ssl.webflow.com/5b32655069229148933e1636/js/webflow.7fc2b3ab7.js	C:/Veb%20saytlarim/abdulazizov/uploads-ssl.webflow.com/5b32655069229148933e1636/js/webflow.7fc2b3ab7.js	(from https://www.ojieame.design/)
12:55:21	515017/515017	---M--	200	added ('OK')	image/jpeg	etag:%220eb23b355a61de4cd2b8dfda161ec1db%22	https://uploads-ssl.webflow.com/5b32655069229148933e1636/5b33a295c698a7063367763e_Artboard%202%20Copy.jpg	C:/Veb%20saytlarim/abdulazizov/uploads-ssl.webflow.com/5b32655069229148933e1636/5b33a295c698a7063367763e_Artboard%202%20Copy.jpg	(from https://uploads-ssl.webflow.com/5b32655069229148933e1636/css/ojieame.webflow.01c801302.css)
12:55:22	618020/618020	---M--	200	added ('OK')	image/jpeg	etag:%2232d282600ea0be19a2bdc6266b0924e9%22	https://uploads-ssl.webflow.com/5b32655069229148933e1636/5b3464eae851812c9c50f205_bbbbbbb.jpg	C:/Veb%20saytlarim/abdulazizov/uploads-ssl.webflow.com/5b32655069229148933e1636/5b3464eae851812c9c50f205_bbbbbbb.jpg	(from https://uploads-ssl.webflow.com/5b32655069229148933e1636/css/ojieame.webflow.01c801302.css)
12:55:22	2609899/2609899	---M--	200	added ('OK')	image/jpeg	etag:%225b915c3dcfa09f4893916b0088f0a4a9%22	https://uploads-ssl.webflow.com/5b32655069229148933e1636/5b33609ae43d9d574f5a17ab_lm.jpg	C:/Veb%20saytlarim/abdulazizov/uploads-ssl.webflow.com/5b32655069229148933e1636/5b33609ae43d9d574f5a17ab_lm.jpg	(from https://uploads-ssl.webflow.com/5b32655069229148933e1636/css/ojieame.webflow.01c801302.css)
12:55:22	503463/503463	---M--	200	added ('OK')	image/png	etag:%22bf723da50fcea181bc1dca117cd64d10%22	https://uploads-ssl.webflow.com/5b32655069229148933e1636/5b346b373717ce4fcf5e717d_Mi%20Mix%202S.png	C:/Veb%20saytlarim/abdulazizov/uploads-ssl.webflow.com/5b32655069229148933e1636/5b346b373717ce4fcf5e717d_Mi%20Mix%202S.png	(from https://uploads-ssl.webflow.com/5b32655069229148933e1636/css/ojieame.webflow.01c801302.css)
